"age","sex","cw","age5_start","age5_str","mx","qx","lx","dx","ex"
25,"male",0.895031377820043,25,"25-29",0.000598,0.000598,99017.1,59.2,55.06
26,"female",0.872808316551781,25,"25-29",0.000262,0.000262,99308.6,26,57.58
26,"male",0.895031377820043,25,"25-29",0.000581,0.000581,98957.9,57.5,54.09
27,"female",0.872808316551781,25,"25-29",0.000292,0.000292,99282.6,29,56.6
27,"male",0.895031377820043,25,"25-29",0.000621,0.000621,98900.4,61.4,53.12
28,"female",0.872808316551781,25,"25-29",0.000314,0.000314,99253.5,31.2,55.61
28,"male",0.895031377820043,25,"25-29",0.000695,0.000695,98839,68.7,52.15
29,"female",0.872808316551781,25,"25-29",0.00032,0.00032,99222.4,31.8,54.63
29,"male",0.895031377820043,25,"25-29",0.000732,0.000732,98770.3,72.3,51.19
30,"female",0.869993614927992,30,"30-34",0.00037,0.00037,99190.6,36.7,53.65
30,"male",0.915643145113206,30,"30-34",0.000771,0.000771,98698,76.1,50.23
31,"female",0.869993614927992,30,"30-34",0.000394,0.000394,99153.9,39,52.67
31,"male",0.915643145113206,30,"30-34",0.000835,0.000835,98621.9,82.3,49.26
32,"female",0.869993614927992,30,"30-34",0.000453,0.000453,99114.9,44.9,51.69
32,"male",0.915643145113206,30,"30-34",0.000835,0.000835,98539.6,82.3,48.3
33,"female",0.869993614927992,30,"30-34",0.000486,0.000486,99070,48.2,50.71
33,"male",0.915643145113206,30,"30-34",0.000929,0.000929,98457.3,91.5,47.34
