"age","sex","cw","co","age5_start","age5_str","mx","qx","lx","dx","ex"
47,"female",0.815221490506362,0.806122652535395,45,"45-49",0.00162,0.001618,97876.3,158.4,37.5
47,"male",0.823605870642231,0.822153948959309,45,"45-49",0.002573,0.00257,96526.4,248.1,34.44
48,"female",0.815221490506362,0.806122652535395,45,"45-49",0.001772,0.00177,97717.9,173,36.56
48,"male",0.823605870642231,0.822153948959309,45,"45-49",0.002719,0.002715,96278.4,261.4,33.53
49,"female",0.815221490506362,0.806122652535395,45,"45-49",0.001899,0.001897,97544.9,185,35.63
49,"male",0.823605870642231,0.822153948959309,45,"45-49",0.003047,0.003042,96017,292.1,32.62
50,"female",0.804841211342943,0.798223006428326,50,"50-54",0.002091,0.002089,97359.9,203.4,34.69
50,"male",0.836879570929616,0.83588582527204,50,"50-54",0.003239,0.003233,95724.8,309.5,31.71
51,"female",0.804841211342943,0.798223006428326,50,"50-54",0.002277,0.002274,97156.5,221,33.77
51,"male",0.836879570929616,0.83588582527204,50,"50-54",0.003496,0.00349,95415.3,333,30.81
52,"female",0.804841211342943,0.798223006428326,50,"50-54",0.002478,0.002474,96935.5,239.9,32.84
52,"male",0.836879570929616,0.83588582527204,50,"50-54",0.003755,0.003748,95082.3,356.4,29.92
53,"female",0.804841211342943,0.798223006428326,50,"50-54",0.002591,0.002587,96695.6,250.2,31.92
53,"male",0.836879570929616,0.83588582527204,50,"50-54",0.004021,0.004013,94725.9,380.1,29.03
54,"female",0.804841211342943,0.798223006428326,50,"50-54",0.002773,0.00277,96445.5,267.1,31
54,"male",0.836879570929616,0.83588582527204,50,"50-54",0.004318,0.004309,94345.8,406.5,28.15
55,"female",0.802008686860249,0.791156533912125,55,"55-59",0.003089,0.003084,96178.3,296.6,30.09
55,"male",0.816945100303802,0.808584089604361,55,"55-59",0.004653,0.004642,93939.3,436.1,27.27
56,"female",0.802008686860249,0.791156533912125,55,"55-59",0.0034,0.003395,95881.7,325.5,29.18
56,"male",0.816945100303802,0.808584089604361,55,"55-59",0.005192,0.005178,93503.2,484.2,26.39
57,"female",0.802008686860249,0.791156533912125,55,"55-59",0.003689,0.003682,95556.2,351.9,28.28
57,"male",0.816945100303802,0.808584089604361,55,"55-59",0.005695,0.005678,93019,528.2,25.53
58,"female",0.802008686860249,0.791156533912125,55,"55-59",0.004082,0.004073,95204.4,387.8,27.38
58,"male",0.816945100303802,0.808584089604361,55,"55-59",0.006208,0.006189,92490.8,572.4,24.67
59,"female",0.802008686860249,0.791156533912125,55,"55-59",0.004403,0.004393,94816.6,416.5,26.49
59,"male",0.816945100303802,0.808584089604361,55,"55-59",0.006728,0.006705,91918.3,616.3,23.82
60,"female",0.784427884630109,0.77559196154198,60,"60-64",0.004852,0.004841,94400,456.9,25.61
60,"male",0.809442623257697,0.803429299318124,60,"60-64",0.007414,0.007386,91302,674.4,22.98
61,"female",0.784427884630109,0.77559196154198,60,"60-64",0.005299,0.005285,93943.1,496.5,24.73
61,"male",0.809442623257697,0.803429299318124,60,"60-64",0.008049,0.008017,90627.6,726.5,22.14
62,"female",0.784427884630109,0.77559196154198,60,"60-64",0.006098,0.006079,93446.6,568.1,23.86
62,"male",0.809442623257697,0.803429299318124,60,"60-64",0.008998,0.008958,89901.1,805.3,21.32
