"age","sex","age5_str","cw","co","age5_start","mx","qx","lx","dx","ex","tto","dsu_2014"
5,"male","16-17",0.915652209483253,0.917965536040096,16,8.9e-05,8.9e-05,99512,8.9,75.06,0.94760401074775,0.9446
50,"female","50-54",0.804841211342943,0.798223006428326,50,0.002091,0.002089,97359.9,203.4,34.69,0.840093248440067,0.8594
50,"male","50-54",0.836879570929616,0.83588582527204,50,0.003239,0.003233,95724.8,309.5,31.71,0.862742326866071,0.8793
51,"female","50-54",0.804841211342943,0.798223006428326,50,0.002277,0.002274,97156.5,221,33.77,0.840093248440067,0.8562
51,"male","50-54",0.836879570929616,0.83588582527204,50,0.003496,0.00349,95415.3,333,30.81,0.862742326866071,0.8767
52,"female","50-54",0.804841211342943,0.798223006428326,50,0.002478,0.002474,96935.5,239.9,32.84,0.840093248440067,0.853
52,"male","50-54",0.836879570929616,0.83588582527204,50,0.003755,0.003748,95082.3,356.4,29.92,0.862742326866071,0.874
53,"female","50-54",0.804841211342943,0.798223006428326,50,0.002591,0.002587,96695.6,250.2,31.92,0.840093248440067,0.8498
53,"male","50-54",0.836879570929616,0.83588582527204,50,0.004021,0.004013,94725.9,380.1,29.03,0.862742326866071,0.8712
54,"female","50-54",0.804841211342943,0.798223006428326,50,0.002773,0.00277,96445.5,267.1,31,0.840093248440067,0.8464
54,"male","50-54",0.836879570929616,0.83588582527204,50,0.004318,0.004309,94345.8,406.5,28.15,0.862742326866071,0.8684
55,"female","55-59",0.802008686860249,0.791156533912125,55,0.003089,0.003084,96178.3,296.6,30.09,0.791015441307457,0.8429
55,"male","55-59",0.816945100303802,0.808584089604361,55,0.004653,0.004642,93939.3,436.1,27.27,0.858852805989364,0.8656
56,"female","55-59",0.802008686860249,0.791156533912125,55,0.0034,0.003395,95881.7,325.5,29.18,0.791015441307457,0.8394
56,"male","55-59",0.816945100303802,0.808584089604361,55,0.005192,0.005178,93503.2,484.2,26.39,0.858852805989364,0.8627
57,"female","55-59",0.802008686860249,0.791156533912125,55,0.003689,0.003682,95556.2,351.9,28.28,0.791015441307457,0.8358
57,"male","55-59",0.816945100303802,0.808584089604361,55,0.005695,0.005678,93019,528.2,25.53,0.858852805989364,0.8598
58,"female","55-59",0.802008686860249,0.791156533912125,55,0.004082,0.004073,95204.4,387.8,27.38,0.791015441307457,0.8321
58,"male","55-59",0.816945100303802,0.808584089604361,55,0.006208,0.006189,92490.8,572.4,24.67,0.858852805989364,0.8568
59,"female","55-59",0.802008686860249,0.791156533912125,55,0.004403,0.004393,94816.6,416.5,26.49,0.791015441307457,0.8283
59,"male","55-59",0.816945100303802,0.808584089604361,55,0.006728,0.006705,91918.3,616.3,23.82,0.858852805989364,0.8538
6,"female","16-17",0.880881396147728,0.877652281742187,16,7.9e-05,7.9e-05,99584.1,7.8,77.68,0.90377268173794,0.9103
6,"male","16-17",0.915652209483253,0.917965536040096,16,8.3e-05,8.3e-05,99503.1,8.3,74.07,0.94760401074775,0.9446
60,"female","60-64",0.784427884630109,0.77559196154198,60,0.004852,0.004841,94400,456.9,25.61,0.808660893931789,0.8245
60,"male","60-64",0.809442623257697,0.803429299318124,60,0.007414,0.007386,91302,674.4,22.98,0.811320224385668,0.8507
61,"female","60-64",0.784427884630109,0.77559196154198,60,0.005299,0.005285,93943.1,496.5,24.73,0.808660893931789,0.8206
61,"male","60-64",0.809442623257697,0.803429299318124,60,0.008049,0.008017,90627.6,726.5,22.14,0.811320224385668,0.8476
62,"female","60-64",0.784427884630109,0.77559196154198,60,0.006098,0.006079,93446.6,568.1,23.86,0.808660893931789,0.8165
62,"male","60-64",0.809442623257697,0.803429299318124,60,0.008998,0.008958,89901.1,805.3,21.32,0.811320224385668,0.8444
63,"female","60-64",0.784427884630109,0.77559196154198,60,0.006478,0.006457,92878.5,599.7,23,0.808660893931789,0.8124
63,"male","60-64",0.809442623257697,0.803429299318124,60,0.009929,0.00988,89095.8,880.3,20.51,0.811320224385668,0.8412
64,"female","60-64",0.784427884630109,0.77559196154198,60,0.007006,0.006982,92278.7,644.3,22.15,0.808660893931789,0.8082
64,"male","60-64",0.809442623257697,0.803429299318124,60,0.010735,0.010678,88215.5,942,19.71,0.811320224385668,0.8379
65,"female","65-69",0.782236443558683,0.774728008952233,65,0.007698,0.007668,91634.5,702.7,21.3,0.809953474631771,0.8039
65,"male","65-69",0.798471807295663,0.79705318447509,65,0.011872,0.011802,87273.5,1030,18.91,0.857120537281961,0.8346
66,"female","65-69",0.782236443558683,0.774728008952233,65,0.008278,0.008244,90931.8,749.7,20.46,0.809953474631771,0.7996
66,"male","65-69",0.798471807295663,0.79705318447509,65,0.012985,0.012901,86243.5,1112.6,18.13,0.857120537281961,0.8313
67,"female","65-69",0.782236443558683,0.774728008952233,65,0.009053,0.009012,90182.1,812.7,19.62,0.809953474631771,0.7951
67,"male","65-69",0.798471807295663,0.79705318447509,65,0.01416,0.01406,85130.9,1197,17.36,0.857120537281961,0.8278
68,"female","65-69",0.782236443558683,0.774728008952233,65,0.010082,0.010032,89369.4,896.5,18.8,0.809953474631771,0.7905
68,"male","65-69",0.798471807295663,0.79705318447509,65,0.01549,0.015371,83933.9,1290.1,16.6,0.857120537281961,0.8244
69,"female","65-69",0.782236443558683,0.774728008952233,65,0.01088,0.010821,88472.9,957.3,17.98,0.809953474631771,0.7859
69,"male","65-69",0.798471807295663,0.79705318447509,65,0.016987,0.016844,82643.8,1392.1,15.86,0.857120537281961,0.8209
7,"female","16-17",0.880881396147728,0.877652281742187,16,6.1e-05,6.1e-05,99576.3,6,76.68,0.90377268173794,0.9103
7,"male","16-17",0.915652209483253,0.917965536040096,16,7.3e-05,7.3e-05,99494.8,7.3,73.08,0.94760401074775,0.9446
70,"female","70-74",0.786970842149871,0.783852211623099,70,0.01203,0.011958,87515.5,1046.6,17.17,0.78503174251992,0.7812
70,"male","70-74",0.802386849711793,0.801226583727464,70,0.017956,0.017796,81251.8,1446,15.12,0.797294213822586,0.8174
71,"female","70-74",0.786970842149871,0.783852211623099,70,0.01297,0.012887,86469,1114.3,16.38,0.78503174251992,0.7763
71,"male","70-74",0.802386849711793,0.801226583727464,70,0.02001,0.019812,79805.8,1581.1,14.38,0.797294213822586,0.8138
72,"female","70-74",0.786970842149871,0.783852211623099,70,0.014884,0.014774,85354.7,1261,15.58,0.78503174251992,0.7714
72,"male","70-74",0.802386849711793,0.801226583727464,70,0.021869,0.021632,78224.7,1692.2,13.66,0.797294213822586,0.8101
73,"female","70-74",0.786970842149871,0.783852211623099,70,0.017035,0.016891,84093.7,1420.4,14.81,0.78503174251992,0.7664
73,"male","70-74",0.802386849711793,0.801226583727464,70,0.025311,0.024995,76532.5,1912.9,12.96,0.797294213822586,0.8065
74,"female","70-74",0.786970842149871,0.783852211623099,70,0.018668,0.018495,82673.2,1529.1,14.06,0.78503174251992,0.7613
74,"male","70-74",0.802386849711793,0.801226583727464,70,0.027602,0.027226,74619.6,2031.6,12.27,0.797294213822586,0.8027
75,"female","75-79",0.740581868142652,0.729928806626513,75,0.020912,0.020696,81144.2,1679.4,13.31,0.75666313955895,0.7561
75,"male","75-79",0.790894093539571,0.78806244879763,75,0.030891,0.030421,72588,2208.2,11.6,0.791180046658543,0.799
76,"female","75-79",0.740581868142652,0.729928806626513,75,0.023611,0.023336,79464.8,1854.4,12.58,0.75666313955895,0.7507
76,"male","75-79",0.790894093539571,0.78806244879763,75,0.034948,0.034348,70379.8,2417.4,10.95,0.791180046658543,0.7952
77,"female","75-79",0.740581868142652,0.729928806626513,75,0.026807,0.026453,77610.5,2053,11.87,0.75666313955895,0.7453
77,"male","75-79",0.790894093539571,0.78806244879763,75,0.03867,0.037937,67962.4,2578.3,10.32,0.791180046658543,0.7913
78,"female","75-79",0.740581868142652,0.729928806626513,75,0.030388,0.029934,75557.5,2261.7,11.18,0.75666313955895,0.7398
78,"male","75-79",0.790894093539571,0.78806244879763,75,0.043514,0.042587,65384.2,2784.5,9.71,0.791180046658543,0.7875
79,"female","75-79",0.740581868142652,0.729928806626513,75,0.034189,0.033615,73295.7,2463.8,10.51,0.75666313955895,0.7342
79,"male","75-79",0.790894093539571,0.78806244879763,75,0.048056,0.046928,62599.6,2937.7,9.12,0.791180046658543,0.7835
8,"female","16-17",0.880881396147728,0.877652281742187,16,6.4e-05,6.4e-05,99570.3,6.3,75.69,0.90377268173794,0.9103
8,"male","16-17",0.915652209483253,0.917965536040096,16,6.4e-05,6.4e-05,99487.5,6.4,72.08,0.94760401074775,0.9446
80,"female","80-84",0.717231239066706,0.709784770509061,80,0.038372,0.03765,70831.9,2666.8,9.86,0.70172281327388,0.7285
80,"male","80-84",0.772772080477255,0.766707265436998,80,0.054329,0.052892,59662,3155.7,8.55,0.809178318824506,0.7796
81,"female","80-84",0.717231239066706,0.709784770509061,80,0.043276,0.042359,68165.1,2887.4,9.22,0.70172281327388,0.7227
81,"male","80-84",0.772772080477255,0.766707265436998,80,0.060667,0.058881,56506.3,3327.1,8,0.809178318824506,0.7756
82,"female","80-84",0.717231239066706,0.709784770509061,80,0.049059,0.047884,65277.7,3125.8,8.61,0.70172281327388,0.7167
82,"male","80-84",0.772772080477255,0.766707265436998,80,0.067296,0.065106,53179.2,3462.3,7.46,0.809178318824506,0.7715
83,"female","80-84",0.717231239066706,0.709784770509061,80,0.056819,0.05525,62152,3433.9,8.02,0.70172281327388,0.7107
