"X_Y5_1","X_Y5_2","X_Y5_3","X_Y5_4","X_Y5_5","X_age5grp","X_male","X_U5UK","Output","Domain","X_age","X_U5"
1,2,1,4,2,"18-34",1,0.596,0.585189857630848,"12142",1,0.596
1,2,1,4,3,"18-34",1,0.57,0.505321880885045,"12143",1,0.57
1,2,1,4,4,"18-34",1,0.389,0.305307707898632,"12144",1,0.389
1,2,1,4,5,"18-34",1,0.385,0.13660054763894,"12145",1,0.385
1,2,1,5,1,"18-34",1,0.615,0.70506625540375,"12151",1,0.615
1,2,1,5,2,"18-34",1,0.537,0.64814733030191,"12152",1,0.537
1,2,1,5,3,"18-34",1,0.511,0.56721710097252,"12153",1,0.511
1,2,1,5,4,"18-34",1,0.33,0.340162652647252,"12154",1,0.33
1,2,1,5,5,"18-34",1,0.326,0.147817182427604,"12155",1,0.326
1,2,2,1,1,"18-34",1,0.9,0.816188754843239,"12211",1,0.9
1,2,2,1,2,"18-34",1,0.822,0.762566359873937,"12212",1,0.822
1,2,2,1,3,"18-34",1,0.796,0.709153253151003,"12213",1,0.796
1,2,2,1,4,"18-34",1,0.615,0.494529915991312,"12214",1,0.615
1,2,2,1,5,"18-34",1,0.611,0.310987476221833,"12215",1,0.611
1,2,2,2,1,"18-34",1,0.837,0.71990903981347,"12221",1,0.837
1,2,2,2,2,"18-34",1,0.759,0.677710049056486,"12222",1,0.759
1,2,2,2,3,"18-34",1,0.733,0.631388426770615,"12223",1,0.733
1,2,2,2,4,"18-34",1,0.552,0.420240292194125,"12224",1,0.552
1,2,2,2,5,"18-34",1,0.548,0.237889740021109,"12225",1,0.548
1,2,2,3,1,"18-34",1,0.816,0.66745567921823,"12231",1,0.816
1,2,2,3,2,"18-34",1,0.738,0.628897323718183,"12232",1,0.738
1,2,2,3,3,"18-34",1,0.712,0.583479202055855,"12233",1,0.712
1,2,2,3,4,"18-34",1,0.531,0.377662423179137,"12234",1,0.531
1,2,2,3,5,"18-34",1,0.527,0.198050362185147,"12235",1,0.527
1,2,2,4,1,"18-34",1,0.624,0.614918337098872,"12241",1,0.624
1,2,2,4,2,"18-34",1,0.546,0.575124281792979,"12242",1,0.546
1,2,2,4,3,"18-34",1,0.52,0.512460917486791,"12243",1,0.52
1,2,2,4,4,"18-34",1,0.339,0.312543792322748,"12244",1,0.339
1,2,2,4,5,"18-34",1,0.335,0.140655073354611,"12245",1,0.335
